source_organisation,record_count
Internet Archive,1577
Australian Yowie Research,1010
Project Gutenberg,499
Project Gutenberg Australia,239
Wikisource,118
Australian Broadcasting Corporation,88
Internet Sacred Text Archive,77
OpenAlex,56
State Library Victoria,21
Crossref,11
National Trust and ABC public pages,8
National Trust of Australia (NSW),6
English Wikipedia,6
Territory Stories,5
Adelaide Arcade,5
Australian Screen,4
Adelaide Gaol,4
Port Arthur Historic Site,2
National Trust Tasmania,2
Marriner Group,1
ACMI,1
Art Gallery of New South Wales,1
Australian Screen Online,1
ABC News,1
Parks Victoria,1
Gunaikurnai Land and Waters Aboriginal Corporation,1
Art Gallery of South Australia,1
Australian National University,1
National Trust Victoria,1
J Ward Ararat,1
Town of Gawler Council,1
Old Melbourne Gaol,1
Fremantle Prison,1
